method,activation_ratio,sense_active_count,comm_active_count,utility,utility_q25,utility_q75,delivery_ratio,delivery_ratio_q25,delivery_ratio_q75,packet_loss_rate,online_scheduling_time_s,simulation_runtime_s,scenario,unit_delivered_energy,low_power_protection_count,candidate_comm_relay_ratio,actual_forward_unique_satellite_count,actual_forward_participation_ratio,actual_downlink_unique_satellite_count,avg_actual_isl_send_count,max_actual_isl_send_count,avg_actual_isl_receive_count,max_actual_isl_receive_count,avg_actual_downlink_count,max_actual_downlink_count,avg_delivered_relay_hops,max_observed_relay_hops,dropped_ttl_mb,dropped_melt_mb,runtime_s,evaluations
Coverage Heuristic,0.5,2446,10000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.03714600030798465,0.05649970006197691,Stress,560.0630066413664,71.0,0.5,252.0,0.0126,14.0,3.287671232876712,53.0,3.287671232876712,53.0,0.1917808219178082,2.0,3.25426944971537,4.0,4579.090909090909,17732.5974025974,,
Budget-constrained NSGA-III,0.5,2372,10000,272425.0,272425.0,272425.0,0.8902777777777777,0.8902777777777777,0.8902777777777777,0.10972222222222222,0.01123739976901561,0.043294099974446,Stress,239.16613104524183,24.0,0.5,54.0,0.0027,14.0,0.5616438356164384,9.0,0.5616438356164384,9.0,0.1917808219178082,2.0,2.516380655226209,4.0,0.0,3950.0,31.135385099914856,660.0
Full Activation Reference,0.5,20000,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.04584659950342029,0.06658099999185652,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
Random Sparse,0.7,3424,14000,230350.0,228012.50000000003,232050.0,0.7527777777777778,0.745138888888889,0.7583333333333333,0.24722222222222223,0.013873900170437992,0.045016299933195114,Stress,,,,,,,,,,,,,,,,,,
Coverage Heuristic,0.7,3424,14000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.03675029973965138,0.056854500086046755,Stress,784.0497239089188,71.0,0.7,252.0,0.0126,14.0,3.287671232876712,53.0,3.287671232876712,53.0,0.1917808219178082,2.0,3.25426944971537,4.0,4579.090909090909,17732.5974025974,,
Budget-constrained NSGA-III,0.7,3353,14000,264491.6666666666,264491.6666666666,264491.6666666666,0.8643518518518518,0.8643518518518518,0.8643518518518518,0.13564814814814813,0.014166200417093933,0.04564240004401654,Stress,344.8754686663097,32.0,0.7,75.0,0.00375,15.0,0.821917808219178,12.0,0.821917808219178,12.0,0.2054794520547945,2.0,2.6780931976432782,4.0,0.0,4883.333333333333,31.480400200001895,660.0
Full Activation Reference,0.7,20000,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.04584659950342029,0.06658099999185652,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
Random Sparse,1.0,4891,20000,219583.3333333333,205345.8333333333,222487.5,0.7175925925925926,0.6710648148148148,0.7270833333333333,0.2824074074074074,0.016041899914853275,0.03692709992174059,Stress,,,,,,,,,,,,,,,,,,
Coverage Heuristic,1.0,4891,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.045373799628578126,0.06674449995625764,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
Budget-constrained NSGA-III,1.0,4700,19996,244800.0,244800.0,244800.0,0.8,0.8,0.8,0.2,0.013218600186519325,0.034835100057534873,Stress,532.1969791666668,28.0,0.9998,69.0,0.00345,16.0,0.7123287671232876,11.0,0.7123287671232876,11.0,0.2191780821917808,2.0,2.40625,4.0,0.0,7200.0,25.18976669991389,660.0
Full Activation Reference,1.0,20000,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.04584659950342029,0.06658099999185652,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
