method,activation_ratio,sense_active_count,comm_active_count,utility,delivery_ratio,packet_loss_rate,online_scheduling_time_s,simulation_runtime_s,unit_delivered_energy,low_power_protection_count,candidate_comm_relay_ratio,actual_forward_unique_satellite_count,actual_forward_participation_ratio,actual_downlink_unique_satellite_count,avg_actual_isl_send_count,max_actual_isl_send_count,avg_actual_isl_receive_count,max_actual_isl_receive_count,avg_actual_downlink_count,max_actual_downlink_count,avg_delivered_relay_hops,max_observed_relay_hops,dropped_ttl_mb,dropped_melt_mb,score_flags,scenario,utility_change_pct_vs_proposed,delivery_ratio_change_vs_proposed,packet_loss_increase_vs_proposed,unit_energy_change_pct_vs_proposed,online_time_change_pct_vs_proposed
Proposed,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.0127480000955984,0.046528899925760925,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,"{'future_gs': True, 'energy': True, 'task_priority': True, 'buffer_pressure': True}",Stress,0.0,0.0,0.0,0.0,0.0
No Future GS,,2261,9245,163837.5,0.5354166666666667,0.46458333333333335,0.01248529925942421,0.043992299935780466,367.65719844357983,26,0.46225,64,0.0032,9,0.684931506849315,11,0.684931506849315,11,0.1232876712328767,2,2.8318201469952444,4,0.0,16725.0,"{'future_gs': False, 'energy': True, 'task_priority': True, 'buffer_pressure': True}",Stress,-39.859594383775345,-0.35486111111111107,0.3548611111111111,66.2776319993804,-2.0607219501425544
No Energy,,2261,9245,244800.0,0.8,0.2,0.011731400853022933,0.04293629992753267,246.06203125000002,19,0.46225,55,0.00275,12,0.6301369863013698,10,0.6301369863013698,10,0.1780821917808219,2,2.572337962962963,4,3250.0,3950.0,"{'future_gs': True, 'energy': False, 'task_priority': True, 'buffer_pressure': True}",Stress,-10.14040561622465,-0.09027777777777768,0.09027777777777779,11.284675111525782,-7.974578247190912
No Task Priority,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.012461299542337656,0.0445239000255242,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,"{'future_gs': True, 'energy': True, 'task_priority': False, 'buffer_pressure': True}",Stress,0.0,0.0,0.0,0.0,-2.248984555308679
No Buffer Pressure,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.01221620012074709,0.04406630003359169,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,"{'future_gs': True, 'energy': True, 'task_priority': True, 'buffer_pressure': False}",Stress,0.0,0.0,0.0,0.0,-4.171634537678807
Distance Only,,2261,9245,160437.5,0.5243055555555556,0.4756944444444444,0.012591400649398565,0.04519019997678697,375.44860927152325,24,0.46225,64,0.0032,9,0.684931506849315,11,0.684931506849315,11,0.1232876712328767,2,2.807064017660044,4,3250.0,13875.0,all cross-layer flags disabled,Stress,-41.107644305772226,-0.36597222222222214,0.3659722222222222,69.80139638612225,-1.228423635279895
No Cross-layer Score,,2261,9245,173187.5,0.5659722222222222,0.4340277777777778,0.009743098518811166,0.040736200055107474,347.8074846625767,22,0.46225,59,0.00295,10,0.6301369863013698,10,0.6301369863013698,10,0.136986301369863,2,2.368916155419223,4,3250.0,12375.0,legacy distance/free/downlink score,Stress,-36.42745709828393,-0.3243055555555555,0.32430555555555557,57.300347133632926,-23.57155282595863
