satellite_count,method_id,label,utility,delivery_ratio,online_scheduling_time_s
5000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.008354199584573507
6000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.010352500015869737
7000,M4,M4 Top-K Graph + Hungarian,144500.0,0.85,0.012187000131234527
8000,M4,M4 Top-K Graph + Hungarian,134300.0,0.79,0.012604199349880219
9000,M4,M4 Top-K Graph + Hungarian,132600.0,0.78,0.015280099236406386
10000,M4,M4 Top-K Graph + Hungarian,134583.33333333334,0.7916666666666667,0.016570400213822722
11000,M4,M4 Top-K Graph + Hungarian,128714.28571428574,0.7571428571428572,0.01977929996792227
12000,M4,M4 Top-K Graph + Hungarian,127500.00000000003,0.7500000000000002,0.02434209967032075
13000,M4,M4 Top-K Graph + Hungarian,125847.22222222226,0.740277777777778,0.026985900243744254
14000,M4,M4 Top-K Graph + Hungarian,121762.50000000001,0.71625,0.025849599391222
15000,M4,M4 Top-K Graph + Hungarian,118362.50000000003,0.6962500000000001,0.027416299446485937
16000,M4,M4 Top-K Graph + Hungarian,114466.66666666669,0.6733333333333335,0.029709300841204822
17000,M4,M4 Top-K Graph + Hungarian,110594.44444444448,0.6505555555555558,0.03339540050365031
18000,M4,M4 Top-K Graph + Hungarian,109650.00000000001,0.6450000000000001,0.03670930000953376
19000,M4,M4 Top-K Graph + Hungarian,109650.00000000003,0.6450000000000001,0.03698349976912141
20000,M4,M4 Top-K Graph + Hungarian,108336.36363636368,0.6372727272727274,0.03830750018823892
