方法编号,方法,感知角色激活数,通信转发角色激活数,活跃卫星数,候选通信转发节点数,候选通信转发节点比例,实际参与转发唯一卫星数,实际参与转发节点比例,实际下传唯一卫星数,平均每时刻ISL发送卫星数,最大每时刻ISL发送卫星数,平均每时刻ISL接收卫星数,最大每时刻ISL接收卫星数,平均每时刻下传卫星数,最大每时刻下传卫星数,平均交付中继跳数,最大观测中继跳数,交付数据量(MB),生成数据量(MB),丢弃数据量(MB),TTL丢弃数据量(MB),熔断丢弃数据量(MB),交付率(delivered/TASK_DATA_MB),丢包率(dropped/generated),平均缓存积压(MB),完成时间(s),在线调度时间(s),单次仿真评估时间(s),NSGA-III优化时间(s),方法总运行时间(s)
M1,M1 Full Graph + Greedy,20000,20000,20000,20000,1.0,229,0.01145,27,3.136986301369863,60,3.136986301369863,60,0.3835616438356164,4,2.871031457263448,4,12492.727272727268,20000.0,7507.272727272728,2031.4141414141413,5475.858585858587,0.6246363636363634,0.3753636363636364,1416.9787898555023,,0.43743039993569255,0.4705567001365125,0.0,0.4705567001365125
M2,M2 Top-K Graph + Greedy,20000,20000,20000,20000,1.0,232,0.0116,28,3.136986301369863,59,3.136986301369863,59,0.3835616438356164,4,2.8245565930180545,4,11998.787878787876,20000.0,8001.212121212122,2524.2424242424245,5476.969696969697,0.5999393939393938,0.4000606060606061,1493.650793650794,,0.11269929981790483,0.14583679987117648,0.0,0.14583679987117648
M3,M3 Full Graph + Hungarian,20000,20000,20000,20000,1.0,232,0.0116,28,3.136986301369863,60,3.136986301369863,60,0.3835616438356164,4,2.8542638639464726,4,12309.898989898986,20000.0,7690.101010101011,2326.161616161616,5363.939393939394,0.6154949494949493,0.3845050505050505,1470.1638696159239,,0.4500370007008314,0.4829043000936508,0.0,0.4829043000936508
M4,M4 Top-K Graph + Hungarian,20000,20000,20000,20000,1.0,233,0.01165,24,3.136986301369863,60,3.136986301369863,60,0.3287671232876712,4,2.748444198589408,4,11269.090909090904,20000.0,8730.909090909092,2349.7979797979797,6381.111111111111,0.5634545454545452,0.43654545454545457,1548.3373855976592,,0.11642819968983531,0.14990480011329055,0.0,0.14990480011329055
M5,M5 NSGA-III + Full Graph + Greedy,1993,7600,7600,7600,0.38,27,0.00135,10,0.2465753424657534,3,0.2465753424657534,3,0.136986301369863,2,1.98,3,20000.0,20000.0,0.0,0.0,0.0,1.0,0.0,268.4931506849315,1050.0,0.038997798692435026,0.08070229995064437,37.82273210003041,37.90343439998105
M6,M6 NSGA-III + Top-K Graph + Greedy,1993,7600,7600,7600,0.38,28,0.0014,9,0.3013698630136986,4,0.3013698630136986,4,0.136986301369863,2,2.5,4,20000.0,20000.0,0.0,0.0,0.0,1.0,0.0,531.5068493150685,1200.0,0.01832459936849773,0.05995630007237196,37.82273210003041,37.88268840010278
M7,M7 NSGA-III + Full Graph + Hungarian,1573,6772,6772,6772,0.3386,19,0.00095,8,0.1643835616438356,3,0.1643835616438356,3,0.1095890410958904,3,1.515,3,20000.0,20000.0,0.0,0.0,0.0,1.0,0.0,141.0958904109589,750.0,0.02775559783913195,0.06788269989192486,58.04706499981694,58.114947699708864
M8,M8 Proposed: NSGA-III + Top-K Graph + Hungarian,1993,7600,7600,7600,0.38,29,0.00145,8,0.3013698630136986,4,0.3013698630136986,4,0.1232876712328767,2,2.4375,4,19200.0,20000.0,800.0,0.0,800.0,0.96,0.04,608.2191780821918,,0.018532799324020743,0.058834000024944544,37.82273210003041,37.88156610005535
